impl,size,delay,rep,interrupted,latency
non_interruptible,8388608,0.005,0,True,1.0930449980015693
non_interruptible,8388608,0.005,1,True,1.0897612210002263
non_interruptible,8388608,0.005,2,True,1.091427821001271
non_interruptible,8388608,0.005,3,True,1.0919975810003235
non_interruptible,8388608,0.005,4,True,1.0921891310000502
non_interruptible,8388608,0.005,5,True,1.0912913250004932
non_interruptible,8388608,0.005,6,True,1.0936348959995668
non_interruptible,8388608,0.005,7,True,1.0907853040017654
non_interruptible,8388608,0.005,8,True,1.0920858360014973
non_interruptible,8388608,0.005,9,True,1.091766367001692
non_interruptible,8388608,0.005,10,True,1.0917044700009866
non_interruptible,8388608,0.005,11,True,1.0900239539997711
non_interruptible,8388608,0.005,12,True,1.0915168479997375
non_interruptible,8388608,0.005,13,True,1.0923956990019361
non_interruptible,8388608,0.005,14,True,1.090768743001827
non_interruptible,8388608,0.005,15,True,1.0910834540019279
non_interruptible,8388608,0.005,16,True,1.0928682070017386
non_interruptible,8388608,0.005,17,True,1.0957586359992275
non_interruptible,8388608,0.005,18,True,1.0936571579996963
non_interruptible,8388608,0.005,19,True,1.0937373989992194
simple_interruptible,8388608,0.005,0,True,0.062027207001956415
simple_interruptible,8388608,0.005,1,True,0.06207072899735067
simple_interruptible,8388608,0.005,2,True,0.06204711500060512
simple_interruptible,8388608,0.005,3,True,0.06205293500272092
simple_interruptible,8388608,0.005,4,True,0.062015655000432164
simple_interruptible,8388608,0.005,5,True,0.06204584200269892
simple_interruptible,8388608,0.005,6,True,0.06208523599809269
simple_interruptible,8388608,0.005,7,True,0.06207563799864147
simple_interruptible,8388608,0.005,8,True,0.06209778999720584
simple_interruptible,8388608,0.005,9,True,0.062105784997693265
simple_interruptible,8388608,0.005,10,True,0.06204681400151458
simple_interruptible,8388608,0.005,11,True,0.062068353997456145
simple_interruptible,8388608,0.005,12,True,0.06224116899931687
simple_interruptible,8388608,0.005,13,True,0.06206370599931688
simple_interruptible,8388608,0.005,14,True,0.06207645999995293
simple_interruptible,8388608,0.005,15,True,0.06279070099946693
simple_interruptible,8388608,0.005,16,True,0.06281176100048469
simple_interruptible,8388608,0.005,17,True,0.06278248600312508
simple_interruptible,8388608,0.005,18,True,0.06313809400046011
simple_interruptible,8388608,0.005,19,True,0.06312137300221365
timed_interruptible,8388608,0.005,0,True,0.06287819599776412
timed_interruptible,8388608,0.005,1,True,0.06286045199987711
timed_interruptible,8388608,0.005,2,True,0.06276409200028865
timed_interruptible,8388608,0.005,3,True,0.06275675699827843
timed_interruptible,8388608,0.005,4,True,0.06283888199788634
timed_interruptible,8388608,0.005,5,True,0.06278630299959331
timed_interruptible,8388608,0.005,6,True,0.06276324999736971
timed_interruptible,8388608,0.005,7,True,0.06271243399998638
timed_interruptible,8388608,0.005,8,True,0.06277635400067083
timed_interruptible,8388608,0.005,9,True,0.06278868800029158
timed_interruptible,8388608,0.005,10,True,0.06280254400291596
timed_interruptible,8388608,0.005,11,True,0.06280236299891839
timed_interruptible,8388608,0.005,12,True,0.06277645500187645
timed_interruptible,8388608,0.005,13,True,0.06279808499777573
timed_interruptible,8388608,0.005,14,True,0.06283222900048713
timed_interruptible,8388608,0.005,15,True,0.06277757600139011
timed_interruptible,8388608,0.005,16,True,0.0627833770023426
timed_interruptible,8388608,0.005,17,True,0.06275527500212774
timed_interruptible,8388608,0.005,18,True,0.06279284500225912
timed_interruptible,8388608,0.005,19,True,0.06277220699950703
